,purchase_price,sale_price,purchase_q_since_1970,sale_q_since_1970
0,885,920,34,50
1,275,295,7,9
2,910,989,40,54
3,610,644,31,33
4,385,600,31,54
5,480,690,27,61
6,498,530,23,29
7,740,889,19,22
8,925,1000,22,26
9,360,408,14,21
10,555,705,4,17
11,675,820,6,18
12,665,815,29,53
13,715,750,12,14
14,750,1040,14,25
15,440,595,27,32
16,1650,2760,26,54
17,595,760,26,33
18,423,979,10,54
19,580,700,29,32
20,430,940,2,33
21,700,1163,6,27
22,547,1125,5,46
23,845,885,27,29
24,435,634,3,19
25,440,685,25,38
26,565,640,33,64
27,230,299,25,35
28,580,580,61,62
29,420,569,14,27
30,525,549,22,25
31,675,909,19,35
32,243,575,7,30
33,640,805,31,46
34,336,337,4,5
35,1149,1204,64,65
36,1020,1185,23,27
37,1135,1379,28,32
38,550,1050,17,54
39,590,900,20,43
40,539,665,31,57
41,345,443,14,24
42,443,670,24,54
43,360,550,4,20
44,315,315,12,13
45,649,889,25,34
46,460,1160,12,43
47,350,480,4,16
48,539,620,21,27
49,500,1160,20,65
50,255,530,7,33
51,708,930,32,54
52,330,499,23,53
53,210,350,23,49
54,960,1100,15,19
55,850,1410,16,22
56,580,905,2,23
57,644,797,29,36
58,650,1100,4,26
59,369,545,13,26
60,485,679,28,62
61,248,289,20,25
62,415,473,9,17
63,410,945,9,54
64,530,760,30,54
65,200,450,9,26
66,450,550,26,32
67,288,450,7,25
68,385,620,5,63
69,240,319,19,34
70,455,495,18,25
71,499,499,45,49
72,553,650,11,19
73,350,361,4,5
74,275,475,5,26
75,459,629,27,59
76,315,539,9,27
77,629,740,36,61
78,443,815,7,27
79,750,790,59,62
80,145,950,3,52
81,460,649,21,29
82,660,806,32,44
83,660,775,36,54
84,800,840,60,63
85,340,549,25,36
86,435,620,22,33
87,309,370,10,17
88,689,865,37,47
89,552,835,24,58
90,320,499,26,58
91,350,457,12,21
92,300,615,4,29
93,325,335,18,23
94,630,750,7,13
95,512,700,17,37
96,525,630,11,23
97,663,685,6,13
98,590,630,22,25
99,670,733,29,30
100,322,679,8,58
101,260,560,34,36
102,289,439,23,34
103,1100,1575,27,49
104,310,430,6,20
105,598,750,28,33
106,445,520,7,18
107,245,250,34,61
108,240,550,6,32
109,390,470,10,13
110,405,550,14,28
111,320,320,4,6
112,525,719,29,59
113,295,649,7,50
114,359,549,26,43
115,845,850,37,49
116,573,720,34,54
117,730,815,34,53
118,319,354,28,33
119,205,275,17,35
120,350,655,13,43
121,321,329,26,27
122,100,455,2,29
123,559,695,26,30
124,375,430,8,24
125,318,350,18,28
126,920,930,39,47
127,380,560,13,29
128,440,580,33,47
129,505,722,26,55
130,340,535,25,46
131,873,1160,25,45
132,219,275,26,38
133,325,429,27,58
134,935,1100,34,47
135,520,1030,10,45
136,502,639,13,25
137,675,699,21,22
138,454,1230,6,54
139,780,864,38,57
140,360,535,12,25
141,1400,1530,30,36
142,360,420,5,11
143,285,299,1,6
144,695,795,30,37
145,795,885,37,39
146,885,915,39,45
147,270,430,14,30
148,540,690,1,14
149,504,658,29,36
150,500,720,30,54
151,1280,1280,26,27
152,290,870,9,63
153,936,936,48,51
154,500,550,2,7
155,550,612,7,22
156,309,519,13,25
157,240,455,3,26
158,770,845,31,43
159,849,880,36,42
160,370,530,12,23
161,370,485,25,28
162,400,620,20,39
163,930,980,38,45
164,1130,1270,34,51
165,539,649,30,36
166,369,1250,35,49
167,530,670,33,52
168,620,1125,19,37
169,429,580,24,33
170,231,290,3,17
171,568,1295,8,35
172,345,650,9,36
173,650,715,36,50
174,460,465,2,5
175,265,350,14,27
176,350,440,21,30
177,455,577,32,53
178,380,465,24,33
179,600,1350,26,62
180,780,940,11,19
181,549,1005,10,38
182,227,570,11,53
183,480,480,44,45
184,681,835,34,37
185,430,490,15,21
186,285,430,7,22
187,845,880,60,61
188,460,1285,6,62
189,435,435,32,33
190,400,600,10,25
191,489,499,36,37
192,394,845,6,46
193,337,440,14,23
194,310,630,18,38
195,1860,1980,43,52
196,365,440,10,19
197,1299,2800,30,53
198,780,860,18,56
199,470,499,34,57
200,315,690,6,31
201,944,1010,34,37
202,285,375,8,21
203,390,810,10,38
204,445,515,19,25
205,160,330,4,56
206,1600,2950,18,37
207,785,1000,31,48
208,176,350,5,34
209,245,247,30,32
210,336,341,29,30
211,385,635,25,39
212,486,1080,12,49
213,440,765,20,36
214,830,969,20,26
215,308,309,11,12
216,1775,2225,33,38
217,750,1310,24,47
218,525,543,20,23
219,465,770,18,37
220,275,415,17,29
221,239,500,3,31
222,370,520,3,18
223,230,309,13,18
224,770,950,32,61
225,333,340,7,11
226,415,490,19,28
227,670,825,32,38
228,745,790,29,30
229,1030,1129,34,37
230,420,495,2,9
231,420,580,18,32
232,320,459,34,39
233,580,700,33,45
234,430,570,15,27
235,369,517,2,25
236,387,500,13,24
237,980,1760,21,34
238,580,790,27,38
239,568,655,2,9
240,1590,1720,34,37
241,375,458,26,32
242,515,590,25,29
243,368,595,19,30
244,362,600,5,27
245,325,455,15,28
246,664,770,21,26
247,215,260,8,20
248,245,329,16,30
249,490,755,21,34
250,260,700,6,56
251,600,749,25,38
252,244,319,13,31
